Sexo,Idade do morador na data de referência,Cor ou raça,... sabe ler e escrever?,Qual é o ano/série/semestre que ... frequenta?,Qual foi o curso mais elevado que ... frequentou anteriormente?,"Na semana de ... a ... (semana de referência), ... trabalhou ou estagiou, durante pelo menos 1 hora, em alguma atividade remunerada em dinheiro?",Condição no domicílio,"Rendimento mensal habitual do trabalho principal para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias no trabalho principal)","Rendimento mensal habitual de todos os trabalhos para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias em qualquer trabalho)",Número de pessoas no domicílio,Qual foi o curso mais elevado que ... frequentou anteriormente?2,"Número de componentes do domicílio (exclusive as pessoas cuja condição no domicílio era pensionista, empregado doméstico ou parente do empregado doméstico)",Anos de estudo (pessoas de 5 anos ou mais de idade) padronizado para o Ensino fundamental - SISTEMA DE 9 ANOS,Posição na ocupação no trabalho principal da semana de referência para pessoas de 14 anos ou mais de idade (com subcategorias de empregados),Posição na ocupação e categoria do emprego do trabalho principal da semana de referência para pessoas de 14 anos ou mais de idade,"Rendimento mensal efetivo do trabalho principal para pessoas de 14 anos ou mais de idade (apenas para pessoas que receberam em dinheiro, produtos ou mercadorias no trabalho principal)"
Mulher,52,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,57,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino médio óu do 2º grau,2,13 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,21,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,37,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  6.000,00 "," R$  6.000,00 ",4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  6.000,00 "
Mulher,38,Branca,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  5.000,00 "," R$  5.000,00 ",4,Superior - graduação,4,16 anos ou mais de estudo,Empregador,Empregador," R$  5.000,00 "
Homem,2,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Mulher,4,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Enteado(a),Não aplicável,Não aplicável,4,Não aplicável,4,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Mulher,71,Branca,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,5,Antigo primário (elementar),5,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,57,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Regular do ensino fundamental ou do 1º grau,5,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,65,Branca,Não,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,4,Não aplicável,4,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,44,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,5,Regular do ensino fundamental ou do 1º grau,5,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,37,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,3,Regular do ensino fundamental ou do 1º grau,3,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,27,Preta,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Regular do ensino médio óu do 2º grau,3,11 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,56,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  2.000,00 "," R$  2.000,00 ",3,Superior - graduação,3,16 anos ou mais de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  2.000,00 "
Mulher,68,Branca,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Antigo primário (elementar),2,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,21,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Regular do ensino médio óu do 2º grau,3,10 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,23,Branca,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Superior - graduação,2,16 anos ou mais de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,17,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,6,Regular do ensino médio óu do 2º grau,6,10 anos de estudo,Trabalhador familiar auxiliar,Trabalhador familiar auxiliar,Não aplicável
Mulher,15,Parda,Sim,Primeira (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,2,Não aplicável,2,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,51,Preta,Não,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  600,00 "," R$  600,00 ",4,Não aplicável,4,Sem instrução e menos de 1 ano de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  600,00 "
Homem,38,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.045,00 "," R$  1.045,00 ",3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  1.045,00 "
Mulher,39,Branca,Não,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,6,Não aplicável,6,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,40,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Regular do ensino fundamental ou do 1º grau,3,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,37,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  550,00 "," R$  550,00 ",6,Regular do ensino fundamental ou do 1º grau,6,9 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  425,00 "
Mulher,2,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Mulher,42,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,54,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.200,00 "," R$  1.200,00 ",5,Regular do ensino fundamental ou do 1º grau,5,3 anos de estudo,Conta-própria,Conta-própria," R$  1.200,00 "
Homem,27,Parda,Sim,Não aplicável,Não aplicável,Sim,Filho(a)," R$  480,00 "," R$  480,00 ",5,Regular do ensino médio óu do 2º grau,5,12 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  480,00 "
Homem,15,Branca,Sim,Primeira (o),Não aplicável,Não,Neto(a),Não aplicável,Não aplicável,4,Não aplicável,4,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,54,Indígena,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  2.900,00 "," R$  2.900,00 ",3,Superior - graduação,3,16 anos ou mais de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  2.900,00 "
Mulher,38,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,7,Branca,Sim,Segunda (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,63,Parda,Sim,Não aplicável,Não aplicável,Não,Convivente,Não aplicável,Não aplicável,5,"Antigo científico, clássico, etc. (médio 2º ciclo)",5,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,59,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,9,Parda,Sim,Quarta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,7,Parda,Sim,Segunda (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,26,Parda,Sim,Terceira (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,11 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,0,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Mulher,48,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,5,Regular do ensino fundamental ou do 1º grau,5,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,45,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,5,Regular do ensino fundamental ou do 1º grau,5,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,12,Branca,Sim,Sétima (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,45,Parda,Sim,Não aplicável,Não aplicável,Sim,Filho(a)," R$  600,00 "," R$  600,00 ",5,Regular do ensino fundamental ou do 1º grau,5,8 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  600,00 "
Homem,21,Parda,Sim,Quarta (o),Não aplicável,Não,Neto(a),Não aplicável,Não aplicável,5,Não aplicável,5,13 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,55,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.500,00 "," R$  1.500,00 ",3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Conta-própria,Conta-própria," R$  1.500,00 "
Mulher,13,Parda,Sim,Oitava (o) ,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,7 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,17,Preta,Sim,Terceira (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,2,Não aplicável,2,11 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,13,Parda,Sim,Oitava (o) ,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,6,Não aplicável,6,7 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,18,Parda,Sim,Primeira (o),Não aplicável,Não,Outro parente,Não aplicável,Não aplicável,6,Não aplicável,6,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,57,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  2.090,00 "," R$  2.090,00 ",3,Regular do ensino médio óu do 2º grau,3,11 anos de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  2.090,00 "
Mulher,56,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  3.200,00 "," R$  3.200,00 ",3,Especialização de nível superior,3,16 anos ou mais de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  3.200,00 "
Mulher,11,Parda,Sim,Sexta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,8,Não aplicável,8,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,73,Parda,Sim,Não aplicável,Não aplicável,Não,"Pai, mãe, padrasto ou madrasta",Não aplicável,Não aplicável,8,Antigo primário (elementar),8,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,47,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  4.180,00 "," R$  4.180,00 ",6,Especialização de nível superior,6,16 anos ou mais de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  4.180,00 "
Homem,22,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a)," R$  300,00 "," R$  300,00 ",6,Regular do ensino médio óu do 2º grau,6,12 anos de estudo,Conta-própria,Conta-própria," R$  300,00 "
Mulher,20,Parda,Sim,Terceira (o),Não aplicável,Não,Filho(a)," R$  500,00 "," R$  500,00 ",6,Não aplicável,6,13 anos de estudo,Conta-própria,Conta-própria," R$  500,00 "
Mulher,29,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,3,Regular do ensino médio óu do 2º grau,3,11 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,30,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  150,00 "," R$  150,00 ",2,Regular do ensino fundamental ou do 1º grau,2,6 anos de estudo,Conta-própria,Conta-própria," R$  100,00 "
Homem,14,Branca,Sim,Oitava (o) ,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,7 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,61,Branca,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.045,00 "," R$  1.045,00 ",2,Antigo primário (elementar),2,5 anos de estudo,Empregador,Empregador," R$  1.045,00 "
Homem,21,Branca,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.200,00 "," R$  1.200,00 ",3,Regular do ensino fundamental ou do 1º grau,3,8 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  1.200,00 "
Homem,3,Branca,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Homem,20,Branca,Sim,Terceira (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,13 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,57,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,4,Regular do ensino fundamental ou do 1º grau,4,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,54,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Alfabetização de jovens e adultos,2,1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,27,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino médio óu do 2º grau,2,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,50,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,4,Regular do ensino fundamental ou do 1º grau,4,2 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,21,Parda,Sim,Não aplicável,Não aplicável,Não,Genro ou nora,Não aplicável,Não aplicável,5,Regular do ensino médio óu do 2º grau,5,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,65,Branca,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Antigo primário (elementar),2,4 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,50,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,5,Regular do ensino fundamental ou do 1º grau,5,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,30,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,5,Regular do ensino fundamental ou do 1º grau,5,7 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,8,Parda,Sim,Segunda (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,58,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  400,00 "," R$  400,00 ",3,Regular do ensino fundamental ou do 1º grau,3,5 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  400,00 "
Homem,19,Parda,Sim,Terceira (o),Não aplicável,Não,Enteado(a),Não aplicável,Não aplicável,4,Não aplicável,4,11 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,30,Branca,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,3,Regular do ensino fundamental ou do 1º grau,3,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,21,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,59,Branca,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável," R$  1.045,00 "," R$  1.045,00 ",2,"Antigo científico, clássico, etc. (médio 2º ciclo)",2,12 anos de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  1.045,00 "
Mulher,72,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Superior - graduação,2,16 anos ou mais de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,11,Parda,Sim,Sexta (o),Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,2,Não aplicável,2,5 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,15,Branca,Sim,Primeira (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,6,Parda,Sim,Primeira (o),Não aplicável,Não aplicável,Neto(a),Não aplicável,Não aplicável,5,Não aplicável,5,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,3,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Neto(a),Não aplicável,Não aplicável,5,Não aplicável,5,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Mulher,29,Parda,Sim,Não aplicável,Não aplicável,Não,Neto(a),Não aplicável,Não aplicável,4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,5,Parda,Não,Não aplicável,Não aplicável,Não aplicável,Bisneto(a),Não aplicável,Não aplicável,4,Não aplicável,4,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,40,Preta,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Regular do ensino fundamental ou do 1º grau,2,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,1,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Mulher,49,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,5,Regular do ensino fundamental ou do 1º grau,5,4 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,84,Parda,Sim,Não aplicável,Não aplicável,Não,"Pai, mãe, padrasto ou madrasta",Não aplicável,Não aplicável,5,Educação de jovens e adultos (EJA) ou supletivo do 1º grau,5,1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,5,Branca,Sim,Não aplicável,Não aplicável,Não aplicável,Neto(a),Não aplicável,Não aplicável,5,Não aplicável,5,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,45,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,5,Não aplicável,5,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,59,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,3,Regular do ensino fundamental ou do 1º grau,3,2 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,59,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a)," R$  200,00 "," R$  200,00 ",2,Classe de alfabetização - CA,2,1 ano de estudo,Conta-própria,Conta-própria, R$  -   
Mulher,54,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,6,Regular do ensino médio óu do 2º grau,6,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,31,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  800,00 "," R$  800,00 ",4,Regular do ensino fundamental ou do 1º grau,4,9 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  800,00 "
Mulher,0,Branca,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Mulher,16,Parda,Sim,Primeira (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,40,Parda,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.650,00 "," R$  1.650,00 ",3,Especialização de nível superior,3,16 anos ou mais de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  2.500,00 "
Mulher,58,Parda,Não,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,6,Antigo primário (elementar),6,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,19,Parda,Sim,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Regular do ensino médio óu do 2º grau,5,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,40,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,4,Regular do ensino médio óu do 2º grau,4,12 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,85,Branca,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,2,Não aplicável,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,59,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,2,Classe de alfabetização - CA,2,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,48,Branca,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  500,00 "," R$  500,00 ",1,Classe de alfabetização - CA,1,Sem instrução e menos de 1 ano de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  600,00 "
Mulher,42,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,4,Regular do ensino fundamental ou do 1º grau,4,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,15,Parda,Sim,Nona (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,8 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,14,Parda,Sim,Nona (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,2,Não aplicável,2,8 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,10,Parda,Sim,Quarta (o),Não aplicável,Não aplicável,Neto(a),Não aplicável,Não aplicável,8,Não aplicável,8,3 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,24,Preta,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  1.500,00 "," R$  1.500,00 ",3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.500,00 "
Mulher,3,Branca,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Homem,33,Parda,Sim,Não aplicável,Não aplicável,Sim,Cônjuge ou companheiro(a)," R$  2.600,00 "," R$  2.600,00 ",3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Empregado no setor público (inclusive servidor estatutário e militar),Militar e servidor estatutário," R$  2.600,00 "
Mulher,0,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Mulher,65,Parda,Sim,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,1,Regular do ensino fundamental ou do 1º grau,1,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,14,Branca,Sim,Nona (o),Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,5,Não aplicável,5,8 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,30,Branca,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,3,Superior - graduação,3,16 anos ou mais de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,0,Parda,Não aplicável,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,3,Não aplicável,3,Não aplicável,Não aplicável,Não aplicável,Não aplicável
Homem,52,Preta,Não,Não aplicável,Não aplicável,Não,Filho(a),Não aplicável,Não aplicável,3,Regular do ensino fundamental ou do 1º grau,3,2 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,41,Branca,Sim,Não aplicável,Não aplicável,Sim,Pessoa responsável," R$  40,00 "," R$  40,00 ",5,Regular do ensino fundamental ou do 1º grau,5,4 anos de estudo,Empregado no setor privado,Empregado no setor privado sem carteira de trabalho assinada," R$  80,00 "
Mulher,46,Parda,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,5,Regular do ensino fundamental ou do 1º grau,5,9 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,85,Parda,Não,Não aplicável,Não aplicável,Não,Pessoa responsável,Não aplicável,Não aplicável,1,Alfabetização de jovens e adultos,1,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
Mulher,66,Branca,Sim,Não aplicável,Não aplicável,Não,Cônjuge ou companheiro(a),Não aplicável,Não aplicável,3,Antigo primário (elementar),3,6 anos de estudo,Não aplicável,Não aplicável,Não aplicável
Homem,37,Parda,Sim,Não aplicável,Não aplicável,Sim,Filho(a)," R$  1.045,00 "," R$  1.045,00 ",3,Regular do ensino médio óu do 2º grau,3,12 anos de estudo,Empregado no setor privado,Empregado no setor privado com carteira de trabalho assinada," R$  1.045,00 "
Homem,5,Parda,Não,Não aplicável,Não aplicável,Não aplicável,Filho(a),Não aplicável,Não aplicável,4,Não aplicável,4,Sem instrução e menos de 1 ano de estudo,Não aplicável,Não aplicável,Não aplicável
